Month;Age;Occupation;Annual_Income;Monthly_Inhand_Salary;Num_Bank_Accounts;Num_Credit_Card;Interest_Rate;NumofLoan;Type_of_Loan;Delay_from_due_date;NumofDelayedPayment;ChangedCreditLimit;Num_Credit_Inquiries;CreditMix;Outstanding_Debt;Credit_Utilization_Ratio;Credit_History_Age;Payment_of_Min_Amount;Total_EMI_per_month;Amount_invested_monthly;Monthly_Balance;Credit_Score
May;34;_______;143162.64;12187.22;1;5;8;3;Auto Loan, Auto Loan, and Not Specified;10;5;7.1;3;Good;1303.01;31.37614957;18 Years and 1 Months;No;246.9923195;430.9475279;810.7821527;Good
June;34;Engineer;143162.64;12187.22;1;5;8;967;Auto Loan, Auto Loan, and Not Specified;8;6;7.1;3;Good;1303.01;39.78399346;18 Years and 2 Months;No;246.9923195;257.8080994;963.9215811;Good
July;34;Engineer;143162.64;12187.22;1;5;8;3;Auto Loan, Auto Loan, and Not Specified;8;6;7.1;3;Good;1303.01;38.06862363;18 Years and 3 Months;No;246.9923195;263.1741632;968.5555174;Standard
August;34;Engineer;143162.64;12187.22;1;5;8;3;Auto Loan, Auto Loan, and Not Specified;8;6;7.1;3;Good;1303.01;38.37475295;18 Years and 4 Months;No;246.9923195;10000;895.4945832;Standard
January;54;Entrepreneur;30689.89;2612.490833;2;5;4;1;Not Specified;0;6;1.99;4;Good;632.46;26.54422872;17 Years and 3 Months;No;16.41545166;81.22885871;433.604773;Standard
February;54;Entrepreneur;30689.89;2612.490833;2;5;4;1;Not Specified;5;3;1.99;4;Good;632.46;35.27998178;17 Years and 4 Months;No;16.41545166;124.8818199;409.9518118;Standard
March;55;Entrepreneur;30689.89;2612.490833;2;5;4;1;Not Specified;3;9;1.99;4;Good;632.46;32.30116343;17 Years and 5 Months;NM;16.41545166;83.4065088;411.4271229;Standard
April;55;Entrepreneur;30689.89;2612.490833;2;5;4;1;Not Specified;7;6;-2.01;4;Good;632.46;38.13234819;17 Years and 6 Months;No;16.41545166;272.3340374;262.4995943;Standard
May;55;Entrepreneur;30689.89;2612.490833;2;5;4;1;Not Specified;5;6;-1.01;4;Good;632.46;41.15431655;17 Years and 7 Months;No;16.41545166;10000;359.3749155;Standard
June;55;_______;30689.89;2612.490833;2;5;4;1;Not Specified;5;6;-3.01;4;;632.46;27.44542179;17 Years and 8 Months;No;16.41545166;84.95284817;419.8807835;Standard
July;55;Entrepreneur;30689.89;2612.490833;2;5;4;1;Not Specified;5;;1.99;4;Good;632.46;26.05639528;17 Years and 9 Months;No;16.41545166;71.28367488;443.5499568;Standard
August;55;Entrepreneur;30689.89;2612.490833;2;5;4;-100;Not Specified;4;9;1.99;4;Good;632.46;27.33251493;17 Years and 10 Months;No;16.41545166;125.6172505;379.2163811;Standard
January;21;Developer;35547.71;2853.309167;7;5;5;0;;5;;2.58;4;Standard;943.86;39.79776423;30 Years and 8 Months;Yes;0;276.7253943;288.6055223;Standard
February;21;Developer;35547.71;;7;5;5;0;;9;;2.58;4;Standard;943.86;27.02036025;30 Years and 9 Months;NM;0;74.44364105;460.8872756;Standard
March;21;Developer;35547.71;2853.309167;7;5;5;-100;;5;12;2.58;4;Standard;943.86;23.46230304;30 Years and 10 Months;Yes;0;173.138651;392.1922657;Standard
April;21;Developer;35547.71;2853.309167;7;5;5;0;;1;15;2.58;4;;943.86;28.92495378;30 Years and 11 Months;Yes;0;96.78548509;438.5454316;Standard
May;21;Developer;35547.71;2853.309167;7;5;5;0;;9;17;2.58;4;;943.86;41.77618715;31 Years and 0 Months;Yes;0;62.72327834;482.6076383;Standard
June;21;Developer;35547.71;;7;5;5;0;;5;15;2.58;4;Standard;943.86;29.21755633;31 Years and 1 Months;Yes;0;37.64363789;497.6872788;Standard
July;21;Developer;35547.71;2853.309167;7;5;5;0;;10;15;2.58;4;Standard;943.86;26.26382269;31 Years and 2 Months;Yes;0;181.0119827;394.3189339;Standard
August;21;Developer;35547.71;2853.309167;7;5;5;-100;;1;15;2.58;4;Standard;943.86;25.86292247;31 Years and 3 Months;Yes;0;181.330901;364.0000157;Standard
January;31;Lawyer;73928.46;;4;1288;8;0;;12;10;10.14;2;Good;548.2;39.96268501;NA;No;15015;98.67440994;740.1960901;Good
February;31;_______;73928.46;5988.705;4;5;8;0;;8;7;10.14;2;Good;548.2;42.7698644;32 Years and 0 Months;NM;0;172.9392145;705.9312855;Good
March;31;Lawyer;73928.46;5988.705;4;5;8;0;;8;7;10.14;2;Good;548.2;40.71218653;NA;No;0;150.0597343;698.8107657;Good
April;31;Lawyer;73928.46;5988.705;4;5;8;0;;8;7;10.14;2;Good;548.2;30.20165771;32 Years and 2 Months;No;0;618.2023913;270.6681087;Good
May;31;Lawyer;73928.46;5988.705;4;5;5318;0;;11;7;10.14;2;;548.2;26.33331043;32 Years and 3 Months;No;0;177.9518357;690.9186643;Good
June;31;Lawyer;73928.46;5988.705;4;5;8;0;;7;7;10.14;2;Good;548.2;35.27543652;NA;No;15515;235.790325;633.080175;Good
July;31;Lawyer;73928.46;5988.705;4;5;8;0;;8;4;9.14;2;;548.2;36.62479126;32 Years and 5 Months;No;0;348.5093995;510.3611005;Standard
August;31;Lawyer;73928.46;5988.705;4;5;8;0;;8;7;10.14;;Good;548.2;31.58098967;32 Years and 6 Months;No;0;42.63559025;796.2349097;Good
January;33;Lawyer;131313.4;11242.78333;0;1;8;2;Credit-Builder Loan, and Mortgage Loan;0;3;9.34;2;Good;352.16;32.200509;30 Years and 7 Months;NM;137.6446054;378.1712535;858.4624744;Good
February;34;Lawyer;131313.4;11242.78333;0;1;8;2;Credit-Builder Loan, and Mortgage Loan;-1;2;15.34;4;Good;352.16;31.98371001;30 Years and 8 Months;No;137.6446054;698.8732707;547.7604572;Good
March;34;Lawyer;131313.4;10469.20776;0;1;8;2;Credit-Builder Loan, and Mortgage Loan;0;3;9.34;4;Good;352.16;31.8031345;30 Years and 9 Months;NM;911.2201793;188.0643211;1038.569407;Good
April;34;Lawyer;131313.4;10469.20776;0;1;8;2;Credit-Builder Loan, and Mortgage Loan;0;2;8.34;4;Good;352.16;42.6457849;30 Years and 10 Months;No;23834;337.4349563;899.1987716;Good
May;34;Lawyer;131313.4;10469.20776;0;1;8;2;Credit-Builder Loan, and Mortgage Loan;0;4;9.34;4;Good;352.16;40.90251715;30 Years and 11 Months;No;32662;263.3789089;963.254819;Good
June;34;Lawyer;131313.4;;0;1;8;-100;Credit-Builder Loan, and Mortgage Loan;0;3;11.34;4;Good;352.16;41.98016961;31 Years and 0 Months;No;911.2201793;86.56638801;1140.06734;Standard
July;34;Lawyer;10909427;;0;1;8;2;Credit-Builder Loan, and Mortgage Loan;0;2;9.34;4;Good;352.16;26.94756515;31 Years and 1 Months;No;911.2201793;930.3918978;326.2418302;Good
August;34;Lawyer;131313.4;10469.20776;0;1;8;2;Credit-Builder Loan, and Mortgage Loan;0;2;9.34;4;Good;352.16;29.18791265;31 Years and 2 Months;No;911.2201793;870.5223817;396.1113462;Good
January;7580;Media_Manager;34081.38;;8;7;15;3;Not Specified, Auto Loan, and Student Loan;30;11;17.13;5;Standard;1704.18;24.44806275;NA;NM;70.47833267;162.4410092;298.1921581;Poor
February;30;Media_Manager;34081.38;2611.115;8;7;15;3;Not Specified, Auto Loan, and Student Loan;30;14;17.13;5;;1704.18;35.17116002;14 Years and 8 Months;Yes;70.47833267;38.43698276;392.1961846;Poor
March;30;Media_Manager;34081.38;;8;7;15;3;Not Specified, Auto Loan, and Student Loan;31;14;17.13;5;Standard;1704.18;35.11155247;14 Years and 9 Months;Yes;70.47833267;199.7207655;260.9124018;Poor
April;30;_______;34081.38;2611.115;8;7;15;3;Not Specified, Auto Loan, and Student Loan;34;14;21.13;5;;1704.18;29.76215931;14 Years and 10 Months;Yes;70.47833267;220.5521919;260.0809754;Poor
May;30;_______;34081.38;2611.115;8;7;15;3;Not Specified, Auto Loan, and Student Loan;27;14;17.13;5;;1704.18;30.20621422;14 Years and 11 Months;Yes;70.47833267;;397.2283547;Standard
June;30;Media_Manager;34081.38;2611.115;8;7;15;-100;Not Specified, Auto Loan, and Student Loan;30;14;18.13;5;Standard;1704.18;31.17087232;15 Years and 0 Months;Yes;70.47833267;;410.6743661;Standard
July;30;Media_Manager;34081.38;;8;7;15;3;Not Specified, Auto Loan, and Student Loan;30;11;17.13;5;Standard;1704.18;38.43850508;15 Years and 1 Months;NM;70.47833267;55.45978064;395.1733867;Standard
August;30;Media_Manager;34081.38;2611.115;8;7;15;3;Not Specified, Auto Loan, and Student Loan;30;14;17.13;9;;1704.18;33.82348834;15 Years and 2 Months;Yes;70.47833267;29.32636371;411.3068036;Poor
January;23;Doctor;114838.41;9843.8675;2;5;7;-100;Personal Loan, Debt Consolidation Loan, and Auto Loan;13;11;8.24;3;Good;1377.74;33.66455429;21 Years and 4 Months;No;226.8927919;215.1935159;802.3004421;Good
February;23;Doctor;114838.41;9843.8675;2;5;7;3;Personal Loan, Debt Consolidation Loan, and Auto Loan;14;8;;3;Good;1377.74;27.62632549;21 Years and 5 Months;NM;226.8927919;212.2356022;785.2583559;Good
March;23;Doctor;114838.41;;2;5;7;3;Personal Loan, Debt Consolidation Loan, and Auto Loan;11;11;;3;Good;1377.74;35.1415673;21 Years and 6 Months;NM;226.8927919;470.3857957;547.1081624;Good
April;23;Doctor;114838.41;;2;5;7;3;Personal Loan, Debt Consolidation Loan, and Auto Loan;11;14;8.24;8;Good;1377.74;30.45903184;21 Years and 7 Months;No;226.8927919;225.0820495;772.4119086;Good
May;23;Doctor;114838.41;9843.8675;2;5;7;3;Personal Loan, Debt Consolidation Loan, and Auto Loan;11;11;11.24;8;Good;1377.74;29.81918663;21 Years and 8 Months;No;226.8927919;649.8093642;367.6845939;Standard
June;24;Doctor;114838.41;9843.8675;2;5;7;3;Personal Loan, Debt Consolidation Loan, and Auto Loan;13;14;8.24;8;;1377.74;26.11421387;21 Years and 9 Months;NM;226.8927919;546.3805705;491.1133876;Good
July;24;Doctor;114838.41;9843.8675;2;5;7;3;Personal Loan, Debt Consolidation Loan, and Auto Loan;11;;8.24;8;Good;1377.74;31.76751565;21 Years and 10 Months;No;226.8927919;215.4682977;792.0256603;Good
August;24;Doctor;114838.41;9843.8675;2;5;7;3;Personal Loan, Debt Consolidation Loan, and Auto Loan;11;11;8.24;8;Good;1377.74;27.81335364;21 Years and 11 Months;No;226.8927919;254.5717672;742.9221908;Standard
January;44;Journalist;31370.8;2825.233333;0;5;12;2;Not Specified, and Payday Loan;4;0;5.76;2;Good;421.43;29.51935256;NA;NM;46.61612907;154.3527811;341.5544232;Good
February;44;Journalist;31370.8;2825.233333;1;6;12;2;Not Specified, and Payday Loan;2;0;-1.24;2;Good;421.43;28.22048096;26 Years and 6 Months;No;46.61612907;298.7444693;227.1627349;Good
March;44;Journalist;31370.8;2825.233333;1;6;12;2;Not Specified, and Payday Loan;-2;0;1.76;5;Good;421.43;31.04641791;26 Years and 7 Months;No;46.61612907;140.820696;375.0865083;Good
April;44;Journalist;31370.8;2825.233333;1;6;12;2;Not Specified, and Payday Loan;1;0;5.76;5;;421.43;30.1680304;26 Years and 8 Months;No;46.61612907;233.6055264;292.3016778;Good
May;44;Journalist;31370.8;2825.233333;1;6;12;2;Not Specified, and Payday Loan;1;0;5.76;5;;421.43;25.18923173;26 Years and 9 Months;No;16415;184.7005716;341.2066326;Good
June;44;Journalist;31370.8;2825.233333;1;6;12;2;Not Specified, and Payday Loan;1;0;5.76;5;Good;421.43;25.50246855;NA;No;46.61612907;137.7174249;378.1897794;Good
July;45;Journalist;31370.8;2825.233333;1;6;12;-100;Not Specified, and Payday Loan;-1;2;5.76;5;Good;421.43;22.76220217;26 Years and 11 Months;No;46.61612907;188.3949005;337.5123038;Good
August;45;Journalist;31370.8;;1;6;12;2;Not Specified, and Payday Loan;-2;2;5.76;5;;421.43;37.56505277;27 Years and 0 Months;No;46.61612907;252.6448272;273.2623771;Good
January;40;Teacher;33751.27;2948.605833;5;5;20;3;Credit-Builder Loan, Personal Loan, and Auto Loan;16;20;11;4;Standard;1328.93;37.08907565;19 Years and 2 Months;NM;65.00817429;117.3066971;362.5457119;Standard
February;40;Teacher;33751.27;2948.605833;5;5;20;3;Credit-Builder Loan, Personal Loan, and Auto Loan;16;20;11;4;Standard;1328.93;30.90808063;19 Years and 3 Months;Yes;65.00817429;70.13107792;399.7213311;Standard
March;40;_______;33751.27;;5;5;20;3;Credit-Builder Loan, Personal Loan, and Auto Loan;16;20;11;8;Standard;1328.93;38.03072168;19 Years and 4 Months;Yes;65.00817429;270.1825822;229.6698268;Standard
April;40;Teacher;33751.27;2948.605833;5;5;20;3;Credit-Builder Loan, Personal Loan, and Auto Loan;17;22;11;8;Standard;1328.93;23.40441278;19 Years and 5 Months;Yes;65.00817429;25.19256191;444.6598471;Standard
May;40;Teacher;33751.27;2948.605833;5;5;20;3;Credit-Builder Loan, Personal Loan, and Auto Loan;16;20;8;8;Standard;1328.93;29.07375818;19 Years and 6 Months;Yes;65.00817429;243.3296848;276.5227243;Standard
June;40;Teacher;33751.27;2948.605833;5;5;20;3;Credit-Builder Loan, Personal Loan, and Auto Loan;16;20;11;8;Standard;1328.93;32.78263673;19 Years and 7 Months;Yes;65.00817429;72.86008181;406.9923272;Standard
July;40;Teacher;33751.27;2948.605833;5;5;20;3;Credit-Builder Loan, Personal Loan, and Auto Loan;16;20;11;8;Standard;1328.93;35.58400505;19 Years and 8 Months;Yes;65.00817429;35.42716954;444.4252395;Standard
August;41;Teacher;33751.27;2948.605833;5;5;20;3;Credit-Builder Loan, Personal Loan, and Auto Loan;16;17;11;8;Standard;1328.93;31.13948358;NA;Yes;65.00817429;25.96961191;443.8827971;Standard
January;32;Engineer;88640.24;7266.686667;3;6;1;2;Payday Loan, and Payday Loan;-1;0;3.51;3;Good;950.36;28.21061721;25 Years and 5 Months;No;135.173371;98.93176402;732.5635317;Standard
February;33;Engineer;88640.24;7266.686667;3;6;433;2;Payday Loan, and Payday Loan;4;2;3.51;3;Good;950.36;41.03616828;25 Years and 6 Months;NM;135.173371;157.1747883;674.3205074;Good
March;33;Engineer;88640.24;7266.686667;3;6;1;2;Payday Loan, and Payday Loan;4;0;3.51;3;Good;950.36;34.67019438;25 Years and 7 Months;No;135.173371;298.1889115;543.3063842;Standard
April;33;Engineer;88640.24;7266.686667;3;6;1;2;Payday Loan, and Payday Loan;4;2;3.51;3;Good;950.36;31.82853557;25 Years and 8 Months;No;135.173371;;86.63611983;Standard
May;33;Engineer;88640.24;7266.686667;3;6;1;2;Payday Loan, and Payday Loan;4;2;3.51;3;Good;950.36;34.70283693;25 Years and 9 Months;No;135.173371;279.6186221;561.8766736;Good
June;33;Engineer;88640.24;7266.686667;3;6;1;2;Payday Loan, and Payday Loan;4;0;3.51;3;Good;950.36;38.32363895;25 Years and 10 Months;No;135.173371;686.1262166;195.3690791;Good
July;33;Engineer;88640.24;;3;6;1;2;Payday Loan, and Payday Loan;4;2;3.51;3;;950.36;25.9791728;25 Years and 11 Months;No;80357;164.0748219;667.4204738;Good
August;33;Engineer;88640.24;7266.686667;3;6;1;2;Payday Loan, and Payday Loan;-1;;3.51;3;Good;950.36;30.87079911;26 Years and 0 Months;No;135.173371;98.44195128;733.0533444;Good
January;35;Entrepreneur;54392.16;4766.68;6;4;14;3;Not Specified, Student Loan, and Personal Loan;10;8;5.54;3;Standard;179.22;25.64924607;26 Years and 10 Months;Yes;124.3920824;243.7354374;378.5404802;Standard
February;35;Entrepreneur;54392.16;4766.68;6;4;14;3;Not Specified, Student Loan, and Personal Loan;10;10;4.54;3;Standard;179.22;29.40877528;26 Years and 11 Months;Yes;124.3920824;142.7518641;459.5240535;Standard
March;35;Entrepreneur;54392.16;;6;4;14;3;Not Specified, Student Loan, and Personal Loan;15;11;5.54;3;;179.22;31.25892847;27 Years and 0 Months;NM;124.3920824;33.34956859;558.926349;Standard
April;35;Entrepreneur;54392.16;4766.68;6;4;14;3;Not Specified, Student Loan, and Personal Loan;10;7;0.54;3;Standard;179.22;27.19258741;27 Years and 1 Months;Yes;124.3920824;494.8422277;147.4336899;Standard
May;35;Entrepreneur;54392.16;4766.68;6;4;14;3;Not Specified, Student Loan, and Personal Loan;10;8;11.54;3;Standard;179.22;34.59532446;27 Years and 2 Months;Yes;124.3920824;233.1184454;409.1574722;Standard
June;35;Entrepreneur;54392.16;4766.68;6;4;14;3;Not Specified, Student Loan, and Personal Loan;10;8;5.54;3;;179.22;23.1950254;27 Years and 3 Months;Yes;124.3920824;635.1465605;7.129357074;Standard
July;36;Entrepreneur;54392.16;4766.68;6;4;14;3;Not Specified, Student Loan, and Personal Loan;10;8;5.54;7;Standard;179.22;35.11253199;27 Years and 4 Months;Yes;124.3920824;158.1124035;464.1635141;Standard
August;36;Entrepreneur;54392.16;4766.68;6;4;14;3;Not Specified, Student Loan, and Personal Loan;10;8;5.54;7;Standard;179.22;32.87880507;27 Years and 5 Months;Yes;124.3920824;495.1178979;147.1580197;Standard
January;39;Manager;8701.545;;6;5;32;7;Personal Loan, Payday Loan, Student Loan, Auto Loan, Home Equity Loan, Student Loan, and Payday Loan;23;9;8.86;6;;2602.69;24.52316385;8 Years and 11 Months;Yes;36.54819717;13.06620992;272.2984679;Poor
February;39;Manager;8701.545;519.12875;6;5;32;7;Personal Loan, Payday Loan, Student Loan, Auto Loan, Home Equity Loan, Student Loan, and Payday Loan;23;9;8.86;6;Standard;2602.69;39.9025176;9 Years and 0 Months;Yes;36.54819717;34.71516394;250.6495139;Poor
March;39;Manager;8701.545;519.12875;6;5;32;7;Personal Loan, Payday Loan, Student Loan, Auto Loan, Home Equity Loan, Student Loan, and Payday Loan;23;;8.86;6;Standard;2602.69;36.47591386;9 Years and 1 Months;NM;36.54819717;45.65097554;239.7137023;Poor
April;39;Manager;8701.545;519.12875;6;5;32;7;Personal Loan, Payday Loan, Student Loan, Auto Loan, Home Equity Loan, Student Loan, and Payday Loan;22;7;8.86;6;Standard;2602.69;32.09749228;9 Years and 2 Months;Yes;36.54819717;20.39018388;284.974494;Poor
May;39;Manager;8701.545;519.12875;6;5;32;7;Personal Loan, Payday Loan, Student Loan, Auto Loan, Home Equity Loan, Student Loan, and Payday Loan;22;9;8.86;6;Standard;2602.69;37.16937449;9 Years and 3 Months;Yes;36.54819717;50.4869522;254.8777256;Poor
June;39;Manager;8701.545;519.12875;6;5;32;7;Personal Loan, Payday Loan, Student Loan, Auto Loan, Home Equity Loan, Student Loan, and Payday Loan;23;6;;6;Standard;2602.69;28.57003141;9 Years and 4 Months;Yes;36.54819717;52.93161341;242.4330644;Poor
July;39;Manager;8701.545;;6;5;32;7;Personal Loan, Payday Loan, Student Loan, Auto Loan, Home Equity Loan, Student Loan, and Payday Loan;21;9;;9;Standard;2602.69;38.46541541;NA;Yes;36.54819717;30.4718063;264.8928715;Poor
August;39;Manager;8701.545;519.12875;6;5;32;7;Personal Loan, Payday Loan, Student Loan, Auto Loan, Home Equity Loan, Student Loan, and Payday Loan;23;9;8.86;9;Standard;2602.69;28.81553706;9 Years and 6 Months;NM;36.54819717;;264.7720511;Poor
January;36;Entrepreneur;25546.26;2415.855;8;7;14;5;Not Specified, Student Loan, Student Loan, Credit-Builder Loan, and Auto Loan;16;14;7.83;5;Standard;758.44;37.41820917;18 Years and 2 Months;NM;101.3286374;53.10459911;337.1522635;Standard
February;50;Entrepreneur;25546.26;;8;7;14;5;Not Specified, Student Loan, Student Loan, Credit-Builder Loan, and Auto Loan;16;13;7.83;;Standard;758.44;29.71137554;18 Years and 3 Months;Yes;101.3286374;300.3232317;129.933631;Standard
March;37;Entrepreneur;25546.26;2415.855;8;7;14;5;Not Specified, Student Loan, Student Loan, Credit-Builder Loan, and Auto Loan;16;10;7.83;5;Standard;758.44;25.41361674;18 Years and 4 Months;Yes;101.3286374;91.21658676;319.0402759;Standard
April;37;Entrepreneur;25546.26;2415.855;8;7;14;5;Not Specified, Student Loan, Student Loan, Credit-Builder Loan, and Auto Loan;16;10;7.83;;Standard;758.44;35.94627822;18 Years and 5 Months;Yes;101.3286374;83.71475049;306.5421121;Standard
May;37;Entrepreneur;25546.26;2415.855;8;7;14;5;Not Specified, Student Loan, Student Loan, Credit-Builder Loan, and Auto Loan;16;13;7.83;5;;758.44;28.27742001;18 Years and 6 Months;Yes;101.3286374;311.9993475;118.2575152;Standard
June;37;Entrepreneur;25546.26;2415.855;8;7;14;5;Not Specified, Student Loan, Student Loan, Credit-Builder Loan, and Auto Loan;16;10;7.83;5;;758.44;34.58659949;NA;Yes;101.3286374;61.73074847;338.5261142;Standard
July;37;Entrepreneur;25546.26;2415.855;8;7;14;5;Not Specified, Student Loan, Student Loan, Credit-Builder Loan, and Auto Loan;16;14;10.83;5;Standard;758.44;30.09906724;18 Years and 8 Months;Yes;101.3286374;130.3003938;299.9564689;Standard
August;37;Entrepreneur;25546.26;2415.855;8;7;14;5;Not Specified, Student Loan, Student Loan, Credit-Builder Loan, and Auto Loan;15;13;7.83;5;Standard;758.44;39.3334879;18 Years and 9 Months;Yes;101.3286374;189.8158613;230.4410013;Standard
January;30;Scientist;31993.78;2942.148333;6;6;7;2;Payday Loan, and Home Equity Loan;8;14;6.28;0;Standard;818.22;25.36959679;16 Years and 10 Months;Yes;45.14129822;81.99883506;447.0747001;Standard
February;30;Scientist;31993.78;2942.148333;6;6;7;2;Payday Loan, and Home Equity Loan;12;14;6.28;0;Standard;818.22;37.95856941;16 Years and 11 Months;Yes;45.14129822;10000;157.8698035;Standard
March;181;Scientist;31993.78;2942.148333;6;6;7;2;Payday Loan, and Home Equity Loan;8;14;10.28;1;Standard;818.22;27.38010905;17 Years and 0 Months;Yes;45.14129822;264.2570885;274.8164466;Standard
April;30;Scientist;31993.78;2942.148333;6;6;7;2;Payday Loan, and Home Equity Loan;8;14;6.28;1;;818.22;34.15826212;17 Years and 1 Months;Yes;45.14129822;152.4523259;376.6212092;Standard
May;30;Scientist;31993.78;2942.148333;6;6;7;2;Payday Loan, and Home Equity Loan;8;14;6.28;1;Standard;818.22;30.7880388;17 Years and 2 Months;Yes;45.14129822;43.47040867;455.6031264;Standard
June;31;Scientist;31993.78;;6;6;7;2;Payday Loan, and Home Equity Loan;8;14;6.28;1;Standard;818.22;34.28096872;17 Years and 3 Months;Yes;45.14129822;112.7238874;396.3496477;Standard
July;31;Scientist;31993.78;;6;6;7;-100;Payday Loan, and Home Equity Loan;8;16;6.28;1;Standard;818.22;29.50345427;17 Years and 4 Months;Yes;45.14129822;104.5572362;404.5162989;Standard
August;31;Scientist;31993.78;2942.148333;6;6;7;2;Payday Loan, and Home Equity Loan;8;16;6.28;1;Standard;818.22;36.01279377;17 Years and 5 Months;Yes;45.14129822;97.58820324;421.4853319;Standard
January;20;Accountant;92047.08;;6;7;16;0;;16;11;9.13;0;Standard;1296.64;37.11561494;29 Years and 2 Months;Yes;0;154.6341231;854.5248769;Standard
February;20;Accountant;92047.08;7591.59;6;7;16;0;;16;11;9.13;4;Standard;1296.64;39.46775837;29 Years and 3 Months;Yes;0;710.4953807;328.6636193;Standard
